,OverallError
0,3.920681953430176
1,3.9128684997558594
2,3.9206151962280273
3,3.921549081802368
4,3.912838935852051
5,3.9180748462677
6,3.9187355041503906
7,3.9211676120758057
8,3.921835422515869
9,3.9104254245758057
