,OverallError
0,3.5160534381866455
1,3.5119686126708984
2,3.5173563957214355
3,3.4459776878356934
4,3.513068675994873
5,3.522400379180908
6,3.519023895263672
7,3.5156002044677734
8,3.5081191062927246
9,3.522202730178833
