,OverallError
0,3.938420057296753
1,3.9597229957580566
2,3.95684552192688
3,3.9570059776306152
4,4.374085426330566
5,3.9578986167907715
6,3.9638710021972656
7,3.9612388610839844
8,3.9561057090759277
9,3.960090160369873
