,OverallError,Anger.Self_Error,Disgust.Self_Error,Fear.Self_Error,Happiness.Self_Error,Sadness.Self_Error,Surprise.Self_Error,Anger.Self_Accuracy,Disgust.Self_Accuracy,Fear.Self_Accuracy,Happiness.Self_Accuracy,Sadness.Self_Accuracy,Surprise.Self_Accuracy
0,0.9850050806999207,2.1516532910936803e-07,5.275692274153698e-07,1.9541573692549719e-07,0.7958356738090515,0.18916819989681244,2.567765591265925e-07,1.0,1.0,1.0,0.801318347454071,0.952929675579071,1.0
1,2.3000171184539795,3.633188953244826e-06,4.491391337069217e-06,2.9740938316535903e-06,2.0287485122680664,0.2712550163269043,2.546044015616644e-06,1.0,1.0,1.0,0.75830078125,0.9034179449081421,1.0
2,2.4002296924591064,1.2398091442378245e-09,1.0011621531802462e-09,0.0,2.191549301147461,0.2086801826953888,6.11176886877729e-10,1.0,1.0,1.0,0.7960449457168579,0.95458984375,1.0
3,2.885688304901123,2.454889340697264e-07,2.7572889393923106e-07,4.042611294607923e-07,2.533383846282959,0.3523034453392029,2.5500975198156084e-07,1.0,1.0,1.0,0.81201171875,0.9388672113418579,1.0
4,4.814002990722656,4.491743865742137e-08,4.387002050521005e-08,3.4038713181416824e-08,4.4915924072265625,0.3224101960659027,5.441629724600716e-08,1.0,1.0,1.0,0.8014160394668579,0.952880859375,1.0
5,2.6496474742889404,8.21295120800869e-09,2.194423753820729e-09,2.660083264771629e-09,2.302901268005371,0.34674638509750366,6.850946476788522e-09,1.0,1.0,1.0,0.761523425579071,0.9192870855331421,1.0
6,3.0090179443359375,1.6275720327030285e-07,1.8624305653247575e-07,1.611564073300542e-07,2.399275779724121,0.6097415685653687,1.1415463774255841e-07,1.0,1.0,1.0,0.7605956792831421,0.9214843511581421,1.0
7,2.238722324371338,0.0,4.656612248576941e-11,0.0,1.8791230916976929,0.3595992624759674,3.8999128926242577e-10,1.0,1.0,1.0,0.8160644769668579,0.942578136920929,1.0
8,2.5520031452178955,4.885352922201491e-08,3.390588432239383e-08,3.299782846966082e-08,2.0489864349365234,0.5030167698860168,3.0378508597550535e-08,1.0,1.0,1.0,0.793017566204071,0.9095214605331421,1.0
9,2.4475114345550537,3.6576577144842304e-07,2.892717816393997e-07,3.5259097330708755e-07,2.1649303436279297,0.2825794816017151,5.478536877490114e-07,1.0,1.0,1.0,0.8138672113418579,0.946337878704071,1.0
