,OverallError,PANAS.Positive_Error,PANAS.Negative_Error,PANAS.Positive_Accuracy,PANAS.Negative_Accuracy
0,1.8948060274124146,0.9516980648040771,0.9431081414222717,0.5349342823028564,0.5349342823028564
1,1.484256386756897,0.7389990091323853,0.7452571988105774,0.6240234375,0.6240234375
2,1.9872870445251465,0.9947806000709534,0.9925063848495483,0.5307173132896423,0.5307173132896423
3,1.2659106254577637,0.6315656304359436,0.6343449950218201,0.6614879369735718,0.6619318127632141
4,1.5443812608718872,0.7719008922576904,0.7724803686141968,0.6275745630264282,0.6277965307235718
5,0.921508252620697,0.4614485800266266,0.4600598216056824,0.7616299986839294,0.7618963122367859
6,1.6871689558029175,0.8460612893104553,0.8411077260971069,0.6309925317764282,0.6309925317764282
7,1.6500401496887207,0.7940915822982788,0.8559485077857971,0.5704012513160706,0.5683149695396423
8,1.5422985553741455,0.7689672112464905,0.7733311057090759,0.6606001257896423,0.65771484375
9,1.0683534145355225,0.5345108509063721,0.5338425040245056,0.7613636255264282,0.7480912804603577
