,OverallError
0,3.9243311882019043
1,3.9222919940948486
2,3.9213624000549316
3,3.915733814239502
4,3.92305326461792
5,3.912322521209717
6,3.921738386154175
7,3.923989772796631
8,3.925239086151123
9,3.91487455368042
