,OverallError
0,3.8359463214874268
1,3.8135509490966797
2,3.80161714553833
3,3.8261516094207764
4,3.827854633331299
5,3.855350971221924
6,3.82757568359375
7,3.812236785888672
8,4.2298197746276855
9,3.8065407276153564
