,OverallError,Anger.Self_Error,Disgust.Self_Error,Fear.Self_Error,Happiness.Self_Error,Sadness.Self_Error,Surprise.Self_Error,Anger.Self_Accuracy,Disgust.Self_Accuracy,Fear.Self_Accuracy,Happiness.Self_Accuracy,Sadness.Self_Accuracy,Surprise.Self_Accuracy
0,1.649986982345581,3.395371948045067e-07,2.6985918566424516e-07,1.0004749810832436e-06,1.0657482147216797,0.5842370986938477,1.1553354539728389e-07,1.0,1.0,1.0,0.4599609375,0.730419933795929,1.0
1,1.646966576576233,5.8207657444020455e-12,1.753156482209306e-07,5.359408987715142e-07,1.0652973651885986,0.5816683769226074,4.215980453636803e-08,1.0,1.0,1.0,0.4620605409145355,0.733203113079071,1.0
2,1.652709722518921,1.33957119032857e-05,6.439405751734739e-06,1.609164428373333e-06,1.0659735202789307,0.5867117643356323,3.2051641483121784e-06,1.0,1.0,1.0,0.4586425721645355,0.728320300579071,1.0
3,1.6393944025039673,1.845706520953172e-07,2.0740546347042255e-07,2.2118857856412433e-09,1.0629609823226929,0.5764325261116028,4.590195601394953e-07,1.0,1.0,1.0,0.463623046875,0.737548828125,1.0
4,1.6503169536590576,4.1610274337244846e-08,1.4656333924278897e-08,3.937604020620711e-08,1.0671151876449585,0.5832014679908752,1.3379005281421996e-07,1.0,1.0,1.0,0.45771485567092896,0.7308593988418579,1.0
5,1.6500575542449951,3.0680226359436347e-07,1.9073119972290442e-07,4.668266342378047e-07,1.0632086992263794,0.5868475437164307,3.229307026231254e-07,1.0,1.0,1.0,0.46337890625,0.7273925542831421,1.0
6,1.6525728702545166,2.287558586999694e-09,3.1187653348752065e-08,1.5681722231875028e-07,1.0664184093475342,0.5861543416976929,1.2759116430061113e-08,1.0,1.0,1.0,0.4560546875,0.727343738079071,1.0
7,1.6409915685653687,1.533771722961319e-07,1.0840011555046658e-07,7.308553051643685e-08,1.0634194612503052,0.5775715708732605,2.710148407913948e-07,1.0,1.0,1.0,0.46489256620407104,0.7376953363418579,1.0
8,1.653609037399292,1.5054279174364638e-06,6.648504609074735e-07,2.069497668344411e-06,1.0670640468597412,0.5865395665168762,1.174497583633638e-06,1.0,1.0,1.0,0.45654296875,0.7269531488418579,1.0
9,1.6547088623046875,3.29531280840456e-06,6.927273261680966e-07,3.3694609555823263e-06,1.0706455707550049,0.5840553045272827,5.344627993508766e-07,1.0,1.0,1.0,0.4503417909145355,0.730224609375,1.0
