,OverallError
0,4.013627052307129
1,4.0132317543029785
2,4.012482643127441
3,4.426515102386475
4,4.00567102432251
5,4.010491847991943
6,4.425029754638672
7,4.012172698974609
8,4.011605739593506
9,4.008353233337402
