,OverallError,Anger.Self_Error,Disgust.Self_Error,Fear.Self_Error,Happiness.Self_Error,Sadness.Self_Error,Surprise.Self_Error,Anger.Self_Accuracy,Disgust.Self_Accuracy,Fear.Self_Accuracy,Happiness.Self_Accuracy,Sadness.Self_Accuracy,Surprise.Self_Accuracy
0,8.33774471282959,1.39005708694458,1.3890842199325562,1.3884849548339844,1.3893429040908813,1.3912112712860107,1.3895634412765503,0.2498224377632141,0.25244140625,0.2513316869735718,0.25088778138160706,0.24955610930919647,0.25088778138160706
1,8.331063270568848,1.3886325359344482,1.388712763786316,1.3878735303878784,1.3879849910736084,1.388464093208313,1.3893954753875732,0.24815784394741058,0.25033292174339294,0.2554376721382141,0.25162020325660706,0.24753640592098236,0.24973367154598236
2,8.333571434020996,1.3893314599990845,1.3887372016906738,1.3890092372894287,1.3882508277893066,1.38947331905365,1.3887709379196167,0.2482244372367859,0.24744762480258942,0.2503772974014282,0.25088778138160706,0.2505326569080353,0.25406160950660706
3,8.334678649902344,1.3890708684921265,1.3889877796173096,1.3896944522857666,1.389003872871399,1.3892782926559448,1.3886440992355347,0.24678178131580353,0.25326260924339294,0.2514204680919647,0.24758078157901764,0.25095435976982117,0.2509765625
4,8.337098121643066,1.3897931575775146,1.3897701501846313,1.3900014162063599,1.3892282247543335,1.3888732194900513,1.389432430267334,0.2508434057235718,0.24678178131580353,0.2498224377632141,0.24960049986839294,0.24653764069080353,0.2482244372367859
5,8.321676254272461,1.3868924379348755,1.3865461349487305,1.387203335762024,1.3864715099334717,1.3875309228897095,1.3870320320129395,0.25113192200660706,0.2519975006580353,0.2523748278617859,0.2519087493419647,0.2473810315132141,0.2506880462169647
6,8.331920623779297,1.3892524242401123,1.3894333839416504,1.3881535530090332,1.388485074043274,1.388642430305481,1.3879534006118774,0.24593839049339294,0.24864612519741058,0.24880148470401764,0.247802734375,0.25124290585517883,0.2527299225330353
7,8.333230018615723,1.388625979423523,1.3896729946136475,1.3882321119308472,1.3895312547683716,1.3883960247039795,1.3887715339660645,0.2527521252632141,0.2498224377632141,0.24727006256580353,0.2499334216117859,0.25168678164482117,0.2527299225330353
8,8.339025497436523,1.3901740312576294,1.3897019624710083,1.3907666206359863,1.3893853425979614,1.390009880065918,1.3889868259429932,0.249755859375,0.24485085904598236,0.2503551244735718,0.2503107190132141,0.24880148470401764,0.2522638440132141
9,8.336193084716797,1.3889014720916748,1.3891280889511108,1.3903168439865112,1.3896033763885498,1.3889683485031128,1.3892738819122314,0.24844637513160706,0.24971146881580353,0.24851296842098236,0.24793590605258942,0.24931196868419647,0.2504217028617859
