,OverallError
0,3.9009315967559814
1,3.9024932384490967
2,4.299474716186523
3,3.9000449180603027
4,4.305385112762451
5,3.903977870941162
6,4.301233291625977
7,3.900233745574951
8,3.9002513885498047
9,4.301610946655273
