,OverallError
0,3.620138168334961
1,3.6167819499969482
2,3.613459825515747
3,3.617511749267578
4,3.620518207550049
5,3.618631362915039
6,3.6272025108337402
7,3.6198601722717285
8,3.6169497966766357
9,3.626646041870117
