,OverallError
0,3.65289306640625
1,3.6538093090057373
2,3.654531955718994
3,3.654885768890381
4,3.6541013717651367
5,3.6551685333251953
6,3.655385732650757
7,3.6551616191864014
8,3.65327787399292
9,3.6525449752807617
