,Response.Self_Predicted,Response.Self_Actual
0,4.82327127456665,1.0
1,4.823178768157959,5.0
2,4.827696800231934,5.0
3,4.82543420791626,5.0
4,4.841933250427246,1.0
5,4.852117538452148,9.0
6,4.8596577644348145,6.0
7,4.899133205413818,8.0
8,4.8877387046813965,5.0
9,4.895282745361328,3.0
10,4.941422462463379,4.0
11,4.958745956420898,1.0
12,5.0097336769104,5.0
13,5.008077144622803,5.0
14,5.007807731628418,3.0
15,4.993762969970703,5.0
16,4.923449516296387,4.0
17,4.909941673278809,5.0
18,4.872639179229736,3.0
19,4.873502254486084,3.0
20,4.878143787384033,9.0
21,4.880405902862549,9.0
22,4.892287731170654,7.0
23,4.889528751373291,3.0
24,4.877817153930664,8.0
25,4.885721683502197,6.0
26,4.891915321350098,6.0
27,4.8882598876953125,4.0
28,4.896713733673096,7.0
29,4.884550094604492,8.0
30,4.883138179779053,6.0
31,4.881350040435791,9.0
32,4.883143424987793,2.0
33,4.88830041885376,8.0
34,4.873264312744141,9.0
35,4.878258228302002,2.0
36,4.898359775543213,1.0
37,4.89565372467041,6.0
38,4.895253658294678,4.0
39,4.922313690185547,4.0
40,4.933503150939941,1.0
41,4.958493709564209,6.0
42,4.875367164611816,4.0
43,4.8694682121276855,8.0
44,4.869894504547119,3.0
45,4.870652198791504,6.0
46,4.873517990112305,6.0
47,4.877083778381348,4.0
48,4.876043796539307,7.0
49,4.912176132202148,5.0
50,4.91533899307251,9.0
51,4.92191219329834,4.0
52,4.923365116119385,7.0
53,4.922729969024658,5.0
54,4.918971061706543,6.0
55,4.918549060821533,2.0
56,4.947806358337402,6.0
57,4.9429402351379395,4.0
58,4.9335246086120605,9.0
59,4.931823253631592,8.0
60,4.927670478820801,1.0
61,4.959210395812988,5.0
62,4.9574995040893555,8.0
63,4.951503276824951,4.0
64,4.939476490020752,9.0
65,4.967989921569824,3.0
66,4.986868858337402,3.0
67,4.955913543701172,3.0
68,4.951563358306885,6.0
69,4.944303035736084,1.0
70,4.949344635009766,1.0
71,4.963931560516357,3.0
72,4.957846164703369,2.0
73,4.951739311218262,7.0
74,4.950862407684326,3.0
75,4.948312282562256,5.0
76,4.95342493057251,6.0
77,4.965780735015869,2.0
78,4.995670318603516,4.0
79,4.986209869384766,2.0
80,4.964268207550049,6.0
81,4.998393535614014,2.0
82,4.954736709594727,4.0
83,4.963704586029053,1.0
84,4.961111545562744,4.0
85,4.959046840667725,5.0
86,4.953415393829346,3.0
87,4.949160099029541,3.0
88,4.954905986785889,2.0
89,4.941812992095947,9.0
90,4.894933223724365,4.0
91,4.906596660614014,3.0
92,4.915487766265869,7.0
93,4.887650012969971,6.0
94,4.897555828094482,9.0
95,4.960693836212158,1.0
96,4.920318126678467,9.0
97,4.8739519119262695,2.0
98,4.874539852142334,3.0
99,4.888321876525879,9.0
100,4.921713829040527,6.0
101,4.933855056762695,2.0
102,4.928905963897705,2.0
103,4.918515205383301,6.0
104,4.873426914215088,6.0
105,4.892960548400879,9.0
106,4.892805576324463,7.0
107,4.87419319152832,9.0
108,4.874317169189453,5.0
109,4.865969657897949,6.0
110,4.864312171936035,7.0
111,4.871825695037842,3.0
112,4.870273113250732,8.0
113,4.876526355743408,1.0
114,4.884280681610107,2.0
115,4.88113260269165,4.0
116,4.880760192871094,5.0
117,4.885608673095703,5.0
118,4.886496543884277,2.0
119,4.888111591339111,3.0
120,4.891625881195068,3.0
121,4.930373191833496,9.0
122,4.926575183868408,2.0
123,4.931014537811279,8.0
124,4.946704864501953,4.0
125,4.9702019691467285,5.0
126,4.924062252044678,7.0
127,4.9322991371154785,1.0
128,4.888338565826416,5.0
129,4.914801120758057,4.0
130,4.91549015045166,4.0
131,4.900442123413086,6.0
132,4.909858703613281,7.0
133,4.908942222595215,5.0
134,4.881536483764648,2.0
135,4.87241792678833,6.0
136,4.873201370239258,4.0
137,4.868274688720703,1.0
138,4.883779048919678,4.0
139,4.88538932800293,1.0
140,4.852962493896484,5.0
141,4.8389081954956055,6.0
142,4.83939266204834,9.0
143,4.8554253578186035,3.0
144,4.855077266693115,5.0
145,4.848919868469238,4.0
146,4.838546276092529,4.0
147,4.839836597442627,7.0
148,4.85676383972168,5.0
149,4.843616962432861,2.0
150,4.838059425354004,4.0
151,4.839980602264404,8.0
152,4.887001037597656,2.0
153,4.887030601501465,9.0
154,4.911057949066162,4.0
155,4.914677143096924,8.0
156,4.867050647735596,4.0
157,4.87229585647583,6.0
158,4.878213882446289,5.0
159,4.860711097717285,7.0
160,4.871158599853516,8.0
161,4.8678297996521,6.0
162,4.865170478820801,9.0
163,4.8617095947265625,1.0
164,4.852970123291016,4.0
165,4.844148635864258,4.0
166,4.8522047996521,9.0
167,4.851734638214111,3.0
168,4.854621887207031,8.0
169,4.855679512023926,1.0
170,4.8649115562438965,9.0
171,4.85820198059082,3.0
172,4.871829986572266,9.0
173,4.873760223388672,6.0
174,4.874383926391602,7.0
175,4.887988090515137,3.0
176,4.839949131011963,9.0
177,4.856513977050781,8.0
178,4.84458589553833,4.0
179,4.8404927253723145,9.0
180,4.855868339538574,7.0
181,4.8561506271362305,2.0
182,4.856683731079102,8.0
183,4.851235866546631,8.0
184,4.830280780792236,7.0
