,OverallError
0,3.8023886680603027
1,3.787261486053467
2,3.806161403656006
3,3.803339719772339
4,3.7929863929748535
5,3.7983241081237793
6,3.8108603954315186
7,3.7991039752960205
8,3.8121323585510254
9,3.7894845008850098
