,OverallError
0,3.8217456340789795
1,3.8147530555725098
2,3.822619915008545
3,3.822089672088623
4,3.821739912033081
5,3.8206381797790527
6,3.822371244430542
7,3.818507671356201
8,3.8216159343719482
9,3.822788715362549
