,OverallError
0,3.9223756790161133
1,3.9092538356781006
2,3.901366710662842
3,3.895582914352417
4,3.916271924972534
5,3.921780824661255
6,3.922213315963745
7,3.918070077896118
8,3.9030959606170654
9,3.906087636947632
