,OverallError
0,3.9208226203918457
1,3.9092891216278076
2,3.9139761924743652
3,3.9230141639709473
4,4.314141273498535
5,3.918123245239258
6,3.9159164428710938
7,3.9198226928710938
8,3.916161060333252
9,3.924010753631592
