,OverallError
0,3.9759163856506348
1,3.564600706100464
2,3.973051071166992
3,3.5666072368621826
4,3.5712857246398926
5,3.9756274223327637
6,3.5690059661865234
7,3.974395751953125
8,3.5664165019989014
9,3.5704245567321777
