,OverallError,Anger.Self_Error,Disgust.Self_Error,Fear.Self_Error,Happiness.Self_Error,Sadness.Self_Error,Surprise.Self_Error,Anger.Self_Accuracy,Disgust.Self_Accuracy,Fear.Self_Accuracy,Happiness.Self_Accuracy,Sadness.Self_Accuracy,Surprise.Self_Accuracy
0,1.562654733657837,5.606043984585085e-08,4.769598263010266e-07,4.007596317023854e-07,1.021215796470642,0.541437566280365,2.7263169499747164e-07,1.0,1.0,1.0,0.5260416865348816,0.7688801884651184,1.0
1,1.5578092336654663,3.403270909529965e-07,2.490963595391804e-07,1.4058439035125048e-07,1.0199323892593384,0.5378760099411011,2.133051282271481e-07,1.0,1.0,1.0,0.5271267294883728,0.7715386152267456,1.0
2,1.5661922693252563,2.754062222720677e-07,8.887652711564442e-07,3.719273138358403e-07,1.021287441253662,0.544903039932251,1.8431775572480547e-07,1.0,1.0,1.0,0.5255534052848816,0.7652994990348816,1.0
3,1.55850350856781,8.989847977147747e-09,8.924524763642694e-08,9.472969964008371e-08,1.0218777656555176,0.5366255044937134,4.736808989491692e-08,1.0,1.0,1.0,0.5241428017616272,0.7724609375,1.0
4,1.5542527437210083,4.110816576030629e-07,9.930867861385195e-08,2.12716486203135e-07,1.0198891162872314,0.5343626737594604,3.658478249235486e-07,1.0,1.0,1.0,0.5273979902267456,0.7746310830116272,1.0
5,1.5727909803390503,2.8133699814247848e-09,2.412059814105305e-07,4.770244572682714e-07,1.0285292863845825,0.5442607402801514,6.101456051510468e-08,1.0,1.0,1.0,0.5155165195465088,0.7658420205116272,1.0
6,1.5611698627471924,1.6428137428192713e-07,2.56120074482169e-07,5.058824967818509e-07,1.020311713218689,0.5408568978309631,2.4136753040693293e-07,1.0,1.0,1.0,0.5264756679534912,0.7689344882965088,1.0
7,1.5746760368347168,1.1162934754338494e-07,1.1707499680824185e-07,1.1990776727088814e-07,1.0265709161758423,0.5481046438217163,5.955936543955431e-08,1.0,1.0,1.0,0.5186631679534912,0.7628580927848816,1.0
8,1.5758577585220337,1.0428862395883698e-07,1.2020514361665846e-07,1.6994674467696314e-07,1.027172565460205,0.5486845970153809,3.04056896993643e-07,1.0,1.0,1.0,0.5177409052848816,0.7621527910232544,1.0
9,1.5623860359191895,2.7602709451457486e-07,3.1781150937604252e-06,3.6844139117420127e-07,1.0229599475860596,0.5394207239151001,1.6606682038400322e-06,1.0,1.0,1.0,0.5242512822151184,0.7707790732383728,1.0
