,OverallError
0,3.9216341972351074
1,3.924295425415039
2,3.923651933670044
3,3.921828031539917
4,3.9205503463745117
5,3.9224839210510254
6,3.9180846214294434
7,3.9187259674072266
8,3.921010732650757
9,3.9122583866119385
