,OverallError
0,3.92450213432312
1,3.9219088554382324
2,3.9255104064941406
3,4.315402507781982
4,4.321784973144531
5,3.9225425720214844
6,3.9123446941375732
7,3.9226722717285156
8,4.3189826011657715
9,3.9222640991210938
