,OverallError
0,3.925117015838623
1,3.92254376411438
2,3.9226081371307373
3,4.313228607177734
4,3.9224438667297363
5,3.9230797290802
6,3.9218525886535645
7,3.924269199371338
8,3.9232301712036133
9,3.9241013526916504
