,OverallError
0,3.9194753170013428
1,3.923384189605713
2,3.9172799587249756
3,3.9195282459259033
4,3.924818992614746
5,3.9256720542907715
6,3.9226136207580566
7,3.919559955596924
8,3.9194343090057373
9,3.923741340637207
