,OverallError
0,3.818073272705078
1,3.8160858154296875
2,3.8156304359436035
3,3.80552339553833
4,3.8054580688476562
5,3.816790819168091
6,3.812595844268799
7,3.8196640014648438
8,3.8145649433135986
9,3.8212082386016846
