,OverallError,Anger.Self_Error,Disgust.Self_Error,Fear.Self_Error,Happiness.Self_Error,Sadness.Self_Error,Surprise.Self_Error,Anger.Self_Accuracy,Disgust.Self_Accuracy,Fear.Self_Accuracy,Happiness.Self_Accuracy,Sadness.Self_Accuracy,Surprise.Self_Accuracy
0,1.6472399234771729,1.8044372940284603e-10,1.9208523660552146e-10,4.2491582474823986e-10,1.0643017292022705,0.5829381942749023,0.0,1.0,1.0,1.0,0.4599609375,0.730419933795929,1.0
1,1.6432101726531982,5.023292892758491e-09,3.870792575355608e-09,2.246810071326877e-09,1.0632065534591675,0.5800034403800964,4.115262353110438e-09,1.0,1.0,1.0,0.4620117247104645,0.733349621295929,1.0
2,1.6497808694839478,4.604214343117974e-09,3.934828463059148e-09,6.9732508656272785e-09,1.0649240016937256,0.5848568677902222,4.196762493080541e-09,1.0,1.0,1.0,0.458740234375,0.7284179925918579,1.0
3,1.6384528875350952,1.6600640861952343e-08,1.3830010914261948e-08,1.2630954060455224e-08,1.0625478029251099,0.5759052038192749,1.5727541935461886e-08,1.0,1.0,1.0,0.46357423067092896,0.737597644329071,1.0
4,1.6476080417633057,7.799825785248515e-10,1.3562383438525671e-09,1.0943038697419638e-09,1.0654114484786987,0.5821964144706726,1.0535584626936156e-09,1.0,1.0,1.0,0.4578613340854645,0.7311035394668579,1.0
5,1.648451805114746,1.0477367584638131e-10,5.238686567876627e-11,8.731141504236817e-11,1.0626027584075928,0.5858491659164429,7.566990090079884e-11,1.0,1.0,1.0,0.4632812440395355,0.7273925542831421,1.0
6,1.6521990299224854,7.241016675152423e-09,8.102479576166388e-09,5.715982798193409e-09,1.0663195848464966,0.5858794450759888,7.147888059222396e-09,1.0,1.0,1.0,0.45610350370407104,0.7273925542831421,1.0
7,1.6375608444213867,0.0,0.0,0.0,1.0616674423217773,0.5758934617042542,0.0,1.0,1.0,1.0,0.465087890625,0.7376953363418579,1.0
8,1.6522789001464844,6.43771835839857e-09,1.0896347824029817e-08,1.6914858846917014e-08,1.066058874130249,0.5862200856208801,1.9766840608781422e-08,1.0,1.0,1.0,0.45659178495407104,0.727001965045929,1.0
9,1.6524372100830078,9.138579892820076e-10,1.6123451462846106e-09,1.6414485326521344e-09,1.0693471431732178,0.5830899477005005,1.4377236068341404e-09,1.0,1.0,1.0,0.450439453125,0.730273425579071,1.0
