,OverallError,Anger.Self_Error,Disgust.Self_Error,Fear.Self_Error,Happiness.Self_Error,Sadness.Self_Error,Surprise.Self_Error,Anger.Self_Accuracy,Disgust.Self_Accuracy,Fear.Self_Accuracy,Happiness.Self_Accuracy,Sadness.Self_Accuracy,Surprise.Self_Accuracy
0,1.5934029817581177,2.666282625796157e-06,2.899512082876754e-06,7.73061515246809e-07,1.016880989074707,0.576515257358551,3.4117459790650173e-07,1.0,1.0,1.0,0.5293945074081421,0.738525390625,1.0
1,1.598010778427124,2.106874035234796e-06,1.8854958625524887e-06,2.3594209324073745e-06,1.0222444534301758,0.575757622718811,2.264891463710228e-06,1.0,1.0,1.0,0.5220702886581421,0.738574206829071,1.0
2,1.5984019041061401,2.269774540764047e-06,1.6371262745451531e-06,1.6802657683001598e-06,1.0185248851776123,0.5798708200454712,7.375021482403099e-07,1.0,1.0,1.0,0.5254882574081421,0.7342284917831421,1.0
3,1.594109296798706,1.888832628083037e-07,3.5496697137205047e-07,1.8000636714532448e-07,1.0170342922210693,0.5770733952522278,8.828498607726942e-07,1.0,1.0,1.0,0.5287109613418579,0.738085925579071,1.0
4,1.5964255332946777,1.2996886198379798e-06,1.2662009112318628e-06,1.0258385145789362e-06,1.0176247358322144,0.5787962079048157,9.394819926455966e-07,1.0,1.0,1.0,0.526171863079071,0.735058605670929,1.0
5,1.5966403484344482,9.88477131613763e-06,9.488917385169771e-07,1.0173521332035307e-05,1.0171446800231934,0.579468846321106,5.709428023692453e-06,1.0,1.0,1.0,0.527148425579071,0.734619140625,1.0
6,1.5958901643753052,7.603400717925979e-07,4.194137090962613e-07,5.527725761567126e-07,1.0197715759277344,0.5761163830757141,4.85665566429816e-07,1.0,1.0,1.0,0.5252441167831421,0.737597644329071,1.0
7,1.5957820415496826,3.667075887392457e-08,1.3176430968542263e-07,3.383310911431181e-07,1.0156550407409668,0.5801264047622681,1.4019275340615422e-07,1.0,1.0,1.0,0.5291992425918579,0.7334960699081421,1.0
8,1.595197081565857,5.645373448714963e-07,3.4342298249612213e-07,4.460126490357652e-07,1.020508885383606,0.5746861696243286,8.06728053248662e-07,1.0,1.0,1.0,0.524121105670929,0.739306628704071,1.0
9,1.595610499382019,4.221324729769549e-07,1.4359210354086827e-07,4.6912134621379664e-08,1.019639253616333,0.5759705305099487,1.0131272887292653e-07,1.0,1.0,1.0,0.524218738079071,0.7373046875,1.0
