,OverallError
0,3.8890998363494873
1,3.8760082721710205
2,3.888495922088623
3,4.3037214279174805
4,3.901776075363159
5,3.896148681640625
6,3.8731093406677246
7,3.898174285888672
8,3.8873934745788574
9,4.306502342224121
