"Error","Chunk","Fold","EmotionMeasure","SpecificEmotion","BodilyActivity","ConversationValence","OutputType"
1.6296888589859,"1","7","6emo","Sadness_Error","both","both","observed"
1.46651208400726,"1","7","6emo","Surprise_Error","both","both","observed"
0.840890049934387,"1","7","6emo","Anger_Accuracy","both","both","observed"
0.829775869846344,"1","7","6emo","Disgust_Accuracy","both","both","observed"
1,"1","7","6emo","Fear_Accuracy","both","both","observed"
0.374860495328903,"1","7","6emo","Happiness_Accuracy","both","both","observed"
0.640438973903656,"1","7","6emo","Sadness_Accuracy","both","both","observed"
0.766903817653656,"1","7","6emo","Surprise_Accuracy","both","both","observed"
3.35360932350159,"1","8","6emo","OverallError","both","both","observed"
0.319539606571198,"1","8","6emo","Anger_Error","both","both","observed"
0.318808287382126,"1","8","6emo","Disgust_Error","both","both","observed"
2.77179321162002e-12,"1","8","6emo","Fear_Error","both","both","observed"
0.999405443668366,"1","8","6emo","Happiness_Error","both","both","observed"
0.740121006965637,"1","8","6emo","Sadness_Error","both","both","observed"
0.975734889507294,"1","8","6emo","Surprise_Error","both","both","observed"
0.871140241622925,"1","8","6emo","Anger_Accuracy","both","both","observed"
0.871140241622925,"1","8","6emo","Disgust_Accuracy","both","both","observed"
1,"1","8","6emo","Fear_Accuracy","both","both","observed"
0.450497567653656,"1","8","6emo","Happiness_Accuracy","both","both","observed"
0.721865713596344,"1","8","6emo","Sadness_Accuracy","both","both","observed"
0.758835554122925,"1","8","6emo","Surprise_Accuracy","both","both","observed"
3.5084388256073,"1","9","6emo","OverallError","both","both","observed"
0.36412301659584,"1","9","6emo","Anger_Error","both","both","observed"
0.365288883447647,"1","9","6emo","Disgust_Error","both","both","observed"
0,"1","9","6emo","Fear_Error","both","both","observed"
0.99335527420044,"1","9","6emo","Happiness_Error","both","both","observed"
0.9499631524086,"1","9","6emo","Sadness_Error","both","both","observed"
0.835708498954773,"1","9","6emo","Surprise_Error","both","both","observed"
0.872744619846344,"1","9","6emo","Anger_Accuracy","both","both","observed"
0.87344217300415,"1","9","6emo","Disgust_Accuracy","both","both","observed"
1,"1","9","6emo","Fear_Accuracy","both","both","observed"
0.476539254188538,"1","9","6emo","Happiness_Accuracy","both","both","observed"
0.749348938465118,"1","9","6emo","Sadness_Accuracy","both","both","observed"
0.75927734375,"1","9","6emo","Surprise_Accuracy","both","both","observed"
6.05034971237183,"1","10","6emo","OverallError","both","both","observed"
0.466747999191284,"1","10","6emo","Anger_Error","both","both","observed"
0.464791834354401,"1","10","6emo","Disgust_Error","both","both","observed"
0,"1","10","6emo","Fear_Error","both","both","observed"
1.22489416599274,"1","10","6emo","Happiness_Error","both","both","observed"
1.74181997776031,"1","10","6emo","Sadness_Error","both","both","observed"
2.15209555625916,"1","10","6emo","Surprise_Error","both","both","observed"
0.800269722938538,"1","10","6emo","Anger_Accuracy","both","both","observed"
0.800362706184387,"1","10","6emo","Disgust_Accuracy","both","both","observed"
1,"1","10","6emo","Fear_Accuracy","both","both","observed"
0.426734566688538,"1","10","6emo","Happiness_Accuracy","both","both","observed"
0.634254097938538,"1","10","6emo","Sadness_Accuracy","both","both","observed"
0.763648629188538,"1","10","6emo","Surprise_Accuracy","both","both","observed"
1.20292913913727,"1","1","6emo","OverallError","both","neg","observed"
5.47151934870982e-10,"1","1","6emo","Anger_Error","both","neg","observed"
0,"1","1","6emo","Disgust_Error","both","neg","observed"
0,"1","1","6emo","Fear_Error","both","neg","observed"
0.898936092853546,"1","1","6emo","Happiness_Error","both","neg","observed"
0.303993076086044,"1","1","6emo","Sadness_Error","both","neg","observed"
0,"1","1","6emo","Surprise_Error","both","neg","observed"
1,"1","1","6emo","Anger_Accuracy","both","neg","observed"
1,"1","1","6emo","Disgust_Accuracy","both","neg","observed"
1,"1","1","6emo","Fear_Accuracy","both","neg","observed"
0.642724633216858,"1","1","6emo","Happiness_Accuracy","both","neg","observed"
0.82373046875,"1","1","6emo","Sadness_Accuracy","both","neg","observed"
1,"1","1","6emo","Surprise_Accuracy","both","neg","observed"
1.11460185050964,"1","2","6emo","OverallError","both","neg","observed"
1.32372505845524e-07,"1","2","6emo","Anger_Error","both","neg","observed"
9.84046195640076e-08,"1","2","6emo","Disgust_Error","both","neg","observed"
8.78351169575353e-09,"1","2","6emo","Fear_Error","both","neg","observed"
0.773146986961365,"1","2","6emo","Happiness_Error","both","neg","observed"
0.34145376086235,"1","2","6emo","Sadness_Error","both","neg","observed"
8.38803032365831e-07,"1","2","6emo","Surprise_Error","both","neg","observed"
1,"1","2","6emo","Anger_Accuracy","both","neg","observed"
1,"1","2","6emo","Disgust_Accuracy","both","neg","observed"
1,"1","2","6emo","Fear_Accuracy","both","neg","observed"
0.636474609375,"1","2","6emo","Happiness_Accuracy","both","neg","observed"
0.846484363079071,"1","2","6emo","Sadness_Accuracy","both","neg","observed"
1,"1","2","6emo","Surprise_Accuracy","both","neg","observed"
1.19716143608093,"1","3","6emo","OverallError","both","neg","observed"
0,"1","3","6emo","Anger_Error","both","neg","observed"
0,"1","3","6emo","Disgust_Error","both","neg","observed"
0,"1","3","6emo","Fear_Error","both","neg","observed"
0.848788440227509,"1","3","6emo","Happiness_Error","both","neg","observed"
0.348373085260391,"1","3","6emo","Sadness_Error","both","neg","observed"
0,"1","3","6emo","Surprise_Error","both","neg","observed"
1,"1","3","6emo","Anger_Accuracy","both","neg","observed"
1,"1","3","6emo","Disgust_Accuracy","both","neg","observed"
1,"1","3","6emo","Fear_Accuracy","both","neg","observed"
0.677587866783142,"1","3","6emo","Happiness_Accuracy","both","neg","observed"
0.869921863079071,"1","3","6emo","Sadness_Accuracy","both","neg","observed"
1,"1","3","6emo","Surprise_Accuracy","both","neg","observed"
0.99793130159378,"1","4","6emo","OverallError","both","neg","observed"
2.82888334979248e-09,"1","4","6emo","Anger_Error","both","neg","observed"
1.07102038349183e-09,"1","4","6emo","Disgust_Error","both","neg","observed"
9.75490266341694e-08,"1","4","6emo","Fear_Error","both","neg","observed"
0.671131789684296,"1","4","6emo","Happiness_Error","both","neg","observed"
0.326799333095551,"1","4","6emo","Sadness_Error","both","neg","observed"
7.89796530398235e-08,"1","4","6emo","Surprise_Error","both","neg","observed"
1,"1","4","6emo","Anger_Accuracy","both","neg","observed"
1,"1","4","6emo","Disgust_Accuracy","both","neg","observed"
1,"1","4","6emo","Fear_Accuracy","both","neg","observed"
0.668847680091858,"1","4","6emo","Happiness_Accuracy","both","neg","observed"
0.8564453125,"1","4","6emo","Sadness_Accuracy","both","neg","observed"
1,"1","4","6emo","Surprise_Accuracy","both","neg","observed"
1.04158675670624,"1","5","6emo","OverallError","both","neg","observed"
4.3484723732945e-07,"1","5","6emo","Anger_Error","both","neg","observed"
5.08204820448555e-08,"1","5","6emo","Disgust_Error","both","neg","observed"
2.91675466002062e-08,"1","5","6emo","Fear_Error","both","neg","observed"
0.763333916664124,"1","5","6emo","Happiness_Error","both","neg","observed"
0.278252243995667,"1","5","6emo","Sadness_Error","both","neg","observed"
6.86086849555068e-08,"1","5","6emo","Surprise_Error","both","neg","observed"
1,"1","5","6emo","Anger_Accuracy","both","neg","observed"
1,"1","5","6emo","Disgust_Accuracy","both","neg","observed"
1,"1","5","6emo","Fear_Accuracy","both","neg","observed"
0.631201148033142,"1","5","6emo","Happiness_Accuracy","both","neg","observed"
0.840527355670929,"1","5","6emo","Sadness_Accuracy","both","neg","observed"
1,"1","5","6emo","Surprise_Accuracy","both","neg","observed"
1.01690351963043,"1","6","6emo","OverallError","both","neg","observed"
3.01834415949997e-06,"1","6","6emo","Anger_Error","both","neg","observed"
2.03952208721603e-06,"1","6","6emo","Disgust_Error","both","neg","observed"
1.57499744091183e-05,"1","6","6emo","Fear_Error","both","neg","observed"
0.73905748128891,"1","6","6emo","Happiness_Error","both","neg","observed"
0.277803033590317,"1","6","6emo","Sadness_Error","both","neg","observed"
2.20877536776243e-05,"1","6","6emo","Surprise_Error","both","neg","observed"
1,"1","6","6emo","Anger_Accuracy","both","neg","observed"
1,"1","6","6emo","Disgust_Accuracy","both","neg","observed"
1,"1","6","6emo","Fear_Accuracy","both","neg","observed"
0.637402355670929,"1","6","6emo","Happiness_Accuracy","both","neg","observed"
0.824169933795929,"1","6","6emo","Sadness_Accuracy","both","neg","observed"
1,"1","6","6emo","Surprise_Accuracy","both","neg","observed"
1.03233456611633,"1","7","6emo","OverallError","both","neg","observed"
0,"1","7","6emo","Anger_Error","both","neg","observed"
0,"1","7","6emo","Disgust_Error","both","neg","observed"
0,"1","7","6emo","Fear_Error","both","neg","observed"
0.718052744865417,"1","7","6emo","Happiness_Error","both","neg","observed"
