,OverallError,Anger.Self_Error,Disgust.Self_Error,Fear.Self_Error,Happiness.Self_Error,Sadness.Self_Error,Surprise.Self_Error,Anger.Self_Accuracy,Disgust.Self_Accuracy,Fear.Self_Accuracy,Happiness.Self_Accuracy,Sadness.Self_Accuracy,Surprise.Self_Accuracy
0,8.318076133728027,1.3863043785095215,1.3862919807434082,1.386387586593628,1.3864315748214722,1.3862742185592651,1.3863859176635742,0.2504638731479645,0.25263673067092896,0.24929198622703552,0.24836425483226776,0.249755859375,0.24729004502296448
1,8.31821060180664,1.386415719985962,1.3863515853881836,1.3864517211914062,1.3863595724105835,1.3863179683685303,1.3863141536712646,0.24843749403953552,0.24973145127296448,0.24787597358226776,0.2476806640625,0.2527099549770355,0.25385743379592896
2,8.318212509155273,1.386452555656433,1.3863569498062134,1.3864041566848755,1.386389970779419,1.3863154649734497,1.3862935304641724,0.2449951171875,0.24875488877296448,0.24826660752296448,0.24863281846046448,0.24858398735523224,0.2525878846645355
3,8.318336486816406,1.3863246440887451,1.386393427848816,1.3863317966461182,1.3864223957061768,1.3864184617996216,1.3864456415176392,0.25031739473342896,0.24799804389476776,0.2515869140625,0.24687500298023224,0.24899902939796448,0.25068360567092896
4,8.318292617797852,1.386448621749878,1.3863164186477661,1.3864558935165405,1.3862855434417725,1.3864367008209229,1.3863500356674194,0.24685057997703552,0.2518554627895355,0.24721679091453552,0.2525878846645355,0.24467773735523224,0.2507568299770355
5,8.318136215209961,1.3864071369171143,1.3863115310668945,1.3862632513046265,1.3864434957504272,1.3863921165466309,1.3863186836242676,0.2514892518520355,0.2491455078125,0.2541259825229645,0.24853515625,0.24594727158546448,0.24736328423023224
6,8.318056106567383,1.3864006996154785,1.3863784074783325,1.3862907886505127,1.38633131980896,1.3863685131072998,1.3862855434417725,0.24750976264476776,0.24702148139476776,0.251708984375,0.24916991591453552,0.2514892518520355,0.25310057401657104
7,8.318037986755371,1.3863193988800049,1.3863261938095093,1.3863316774368286,1.386371374130249,1.3863375186920166,1.3863528966903687,0.2511962950229645,0.24836425483226776,0.25505369901657104,0.24716797471046448,0.24782714247703552,0.25541990995407104
8,8.318387031555176,1.386410117149353,1.3863236904144287,1.3863775730133057,1.3863983154296875,1.3864099979400635,1.3864675760269165,0.24509277939796448,0.2503662109375,0.2504638731479645,0.24875488877296448,0.24851074814796448,0.24702148139476776
9,8.318201065063477,1.3863906860351562,1.3862591981887817,1.3863564729690552,1.3864318132400513,1.3863701820373535,1.38639235496521,0.24748535454273224,0.2522216737270355,0.24851074814796448,0.24997559189796448,0.2505859434604645,0.24482421576976776
