,OverallError,PANAS.Positive_Error,PANAS.Negative_Error,PANAS.Positive_Accuracy,PANAS.Negative_Accuracy
0,6565702144.0,3158261248.0,3407440384.0,0.023681640625,0.02529296837747097
1,2920325376.0,1498908288.0,1421416832.0,0.02753906324505806,0.02495117112994194
2,6873424896.0,3219492864.0,3653932288.0,0.02490234375,0.02431640587747097
3,2920224768.0,1657844352.0,1262380288.0,0.02597656287252903,0.02397460862994194
4,4816957952.0,2445866496.0,2371091200.0,0.02656250074505806,0.02412109449505806
5,7686330880.0,2049086848.0,5637243392.0,0.025634765625,0.02543945237994194
6,6740821504.0,2420451328.0,4320370688.0,0.02553710900247097,0.0244140625
7,5889310720.0,2558348544.0,3330962176.0,0.02602539025247097,0.0244140625
8,3175582208.0,1671190528.0,1504391552.0,0.024658203125,0.02490234375
9,3002740224.0,1356592384.0,1646147584.0,0.02509765699505806,0.02363281324505806
