,OverallError
0,3.813404083251953
1,3.815624237060547
2,3.800675630569458
3,3.8071179389953613
4,3.814129590988159
5,3.818190097808838
6,3.796565532684326
7,3.8200371265411377
8,3.8071117401123047
9,3.822434663772583
