,OverallError
0,3.9214296340942383
1,3.9231629371643066
2,3.9102911949157715
3,3.9214560985565186
4,3.92905592918396
5,3.890367269515991
6,3.91219425201416
7,3.915808916091919
8,3.919715642929077
9,3.9425644874572754
