,Response.Self_Predicted,Response.Self_Actual
0,4.85823392868042,6.0
1,4.886993408203125,8.0
2,4.999600410461426,2.0
3,5.02461051940918,7.0
4,5.027551651000977,7.0
5,5.029219150543213,8.0
6,5.028429985046387,7.0
7,5.016716957092285,5.0
8,5.014136791229248,6.0
9,4.9174275398254395,5.0
10,4.8595099449157715,3.0
11,4.859643936157227,6.0
12,4.857178688049316,5.0
13,4.85708475112915,4.0
14,4.855362892150879,9.0
15,4.8548760414123535,2.0
16,4.854773044586182,4.0
17,4.8549485206604,9.0
18,4.854375839233398,9.0
19,4.854546546936035,3.0
20,4.855062484741211,2.0
21,4.855173587799072,6.0
22,4.855484962463379,4.0
23,4.856327533721924,3.0
24,4.85490608215332,6.0
25,4.856057167053223,7.0
26,4.856078147888184,8.0
27,4.853631973266602,8.0
28,4.852248668670654,2.0
29,4.852477073669434,4.0
30,4.852315902709961,4.0
31,4.848956108093262,5.0
32,4.854933738708496,2.0
33,4.858945846557617,4.0
34,4.885054588317871,7.0
35,4.9466071128845215,7.0
36,4.9661712646484375,6.0
37,4.982229709625244,8.0
38,4.996079921722412,2.0
39,5.006466388702393,2.0
40,5.009252071380615,1.0
41,5.024461269378662,2.0
42,5.034911632537842,7.0
43,5.052270889282227,5.0
44,5.0596160888671875,8.0
45,5.073267936706543,4.0
46,5.073770523071289,1.0
47,5.079568386077881,6.0
48,5.080735206604004,5.0
49,5.1271233558654785,3.0
50,5.125896453857422,2.0
51,5.0852370262146,5.0
52,4.928104400634766,5.0
53,4.928139686584473,5.0
54,4.928681373596191,5.0
55,4.9281768798828125,7.0
56,4.9268059730529785,5.0
57,4.9260125160217285,5.0
58,4.926637649536133,4.0
59,4.929442882537842,5.0
60,4.930347919464111,4.0
61,4.931332111358643,2.0
62,4.93064022064209,2.0
63,4.928836345672607,5.0
64,4.933260440826416,2.0
65,4.9316325187683105,6.0
66,4.928857326507568,1.0
67,4.931190490722656,3.0
68,4.936470031738281,7.0
69,4.937141418457031,9.0
70,4.940773010253906,7.0
71,4.9381842613220215,1.0
72,4.93740701675415,6.0
73,4.957180500030518,2.0
74,5.023050308227539,4.0
75,5.025750160217285,3.0
76,5.016804218292236,4.0
77,5.016053199768066,1.0
78,5.011829376220703,3.0
79,4.925477504730225,8.0
80,4.927911281585693,5.0
81,4.929769039154053,1.0
82,4.945376396179199,4.0
83,4.94441556930542,6.0
84,4.9424824714660645,4.0
85,4.941565990447998,6.0
86,4.940953254699707,1.0
87,4.924029350280762,7.0
88,4.925300121307373,5.0
89,4.9256815910339355,2.0
90,4.933940410614014,9.0
91,4.9340949058532715,8.0
92,4.932255268096924,3.0
93,4.931849956512451,1.0
94,4.931760787963867,5.0
95,4.933872222900391,7.0
