,Response.Self_Predicted,Response.Self_Actual
0,4.967887878417969,4.0
1,4.968050956726074,6.0
2,4.970608711242676,4.0
3,4.9705915451049805,5.0
4,4.970061779022217,6.0
5,5.036882400512695,7.0
6,5.032023906707764,6.0
7,5.028270244598389,7.0
8,5.02328634262085,2.0
9,5.040313243865967,8.0
10,5.044782638549805,3.0
11,5.04660177230835,6.0
12,5.045604705810547,6.0
13,5.051689147949219,3.0
14,5.052951335906982,3.0
15,5.0553059577941895,2.0
16,5.060327529907227,4.0
17,5.058189392089844,7.0
18,5.038497447967529,3.0
19,5.012302398681641,7.0
20,5.015390872955322,5.0
21,5.019584655761719,9.0
22,5.018763542175293,7.0
23,5.016690731048584,4.0
24,5.023041725158691,1.0
25,5.036161422729492,3.0
26,5.0361223220825195,8.0
27,5.035106658935547,3.0
28,5.042984485626221,5.0
29,5.042085647583008,9.0
30,5.039911270141602,8.0
31,5.039422988891602,8.0
32,5.039194583892822,3.0
33,5.053757667541504,4.0
34,5.083466529846191,6.0
35,5.089916229248047,8.0
36,5.086953639984131,1.0
37,5.081851959228516,4.0
38,5.0641889572143555,3.0
39,5.057701110839844,7.0
40,5.045162200927734,5.0
41,5.044378280639648,9.0
42,5.050292491912842,1.0
43,5.038081169128418,3.0
44,5.050966739654541,5.0
45,5.069297790527344,9.0
46,5.084383964538574,3.0
47,5.0772199630737305,2.0
48,5.077303886413574,5.0
49,5.078270435333252,6.0
50,5.080800533294678,9.0
51,5.079549312591553,8.0
52,5.074952125549316,3.0
53,5.07244348526001,8.0
54,5.072401523590088,2.0
55,5.072019577026367,1.0
56,5.0782928466796875,3.0
57,5.0727691650390625,9.0
58,5.073902130126953,7.0
59,5.072835922241211,4.0
60,5.089993000030518,4.0
61,5.087912559509277,2.0
62,5.086520195007324,7.0
63,5.084261417388916,7.0
64,5.081902980804443,2.0
65,5.078148365020752,8.0
66,5.083593845367432,9.0
67,5.082423210144043,9.0
68,5.082512378692627,1.0
69,5.078472137451172,7.0
70,5.0773539543151855,8.0
71,5.07680606842041,6.0
72,5.084100246429443,5.0
73,5.082910060882568,9.0
74,5.084005832672119,9.0
75,5.084598541259766,9.0
76,5.086530685424805,7.0
77,5.088089466094971,2.0
78,5.084754467010498,9.0
79,5.08377742767334,8.0
80,5.081969738006592,8.0
81,5.092559814453125,8.0
82,5.095017910003662,3.0
83,5.0868754386901855,7.0
84,5.07569694519043,4.0
85,5.079551696777344,5.0
86,5.082492828369141,1.0
87,5.085731029510498,4.0
88,5.082913398742676,8.0
89,5.0735955238342285,3.0
90,5.067359924316406,2.0
91,5.0741353034973145,2.0
92,5.071698188781738,4.0
93,5.049016952514648,8.0
94,5.049947261810303,4.0
95,5.069178104400635,7.0
96,5.057101249694824,8.0
97,5.059610843658447,2.0
98,5.056753158569336,8.0
99,5.056423187255859,5.0
100,5.051980495452881,1.0
101,5.057441234588623,8.0
102,5.072616100311279,4.0
103,5.08111572265625,9.0
104,5.089020252227783,5.0
105,5.086443901062012,1.0
106,5.072421073913574,9.0
107,5.062478542327881,2.0
108,5.065653324127197,5.0
109,5.064774990081787,8.0
110,5.0607452392578125,2.0
111,5.063447952270508,5.0
112,5.065270900726318,4.0
113,5.062670707702637,5.0
114,5.058686256408691,5.0
115,5.063669681549072,2.0
116,5.067924976348877,2.0
117,5.067598819732666,3.0
118,5.071634292602539,9.0
119,5.058974266052246,9.0
120,5.067838191986084,7.0
121,5.064269542694092,8.0
122,5.048730850219727,3.0
123,5.043128490447998,8.0
124,5.066555500030518,6.0
125,5.071033954620361,9.0
126,5.06790828704834,9.0
127,5.0667524337768555,7.0
128,5.0651068687438965,8.0
129,5.064535617828369,5.0
130,5.06633996963501,4.0
131,5.063900947570801,3.0
132,5.057782173156738,2.0
133,5.06336784362793,7.0
134,5.066483497619629,7.0
135,5.053999900817871,9.0
136,5.0535383224487305,9.0
137,5.056812286376953,4.0
138,5.057408332824707,4.0
139,5.059232234954834,4.0
140,5.058008670806885,3.0
141,5.059174537658691,6.0
142,5.090721130371094,3.0
143,5.093781471252441,3.0
144,5.073124885559082,4.0
145,5.071145057678223,1.0
146,5.089653491973877,8.0
147,5.105945110321045,6.0
148,5.085909843444824,9.0
149,5.064502239227295,7.0
150,5.064399719238281,2.0
151,5.068321228027344,7.0
152,5.090829372406006,4.0
153,5.061141014099121,6.0
154,5.063270092010498,7.0
155,5.080318927764893,1.0
156,5.076379776000977,9.0
157,5.061585903167725,2.0
158,5.052977561950684,9.0
159,5.051873207092285,3.0
160,5.054724216461182,1.0
161,5.061123847961426,2.0
162,5.060469150543213,8.0
163,5.059065818786621,2.0
164,5.056033134460449,2.0
165,5.054865837097168,4.0
166,5.067780017852783,6.0
167,5.0883402824401855,7.0
168,5.052428245544434,8.0
169,5.052628040313721,9.0
170,5.050299167633057,8.0
171,5.056514263153076,7.0
172,5.0560407638549805,9.0
173,5.053915500640869,3.0
174,5.05199670791626,4.0
175,5.054150581359863,6.0
176,5.054488182067871,1.0
