,Response.Self_Predicted,Response.Self_Actual
0,0.0,7.290625
1,0.0,2.040625
2,0.0,7.01875
3,0.0,3.1468750000000005
4,0.0,3.8078125
5,0.0,4.05625
6,0.0,7.2953125
7,0.0,3.953125
8,0.0,2.07578125
9,0.0,4.234375
10,0.0,5.2703125
11,0.0,2.171875
12,0.0,4.9140625
13,0.0,6.9906250000000005
14,0.0,2.4953125
15,0.0,1.97875
16,0.0,3.6765625
17,0.0,5.3453125
18,0.0,1.0
19,0.0,4.97125
20,0.0,4.97125
21,0.0,2.7109375
22,0.0,4.28125
23,0.0,1.99140625
24,0.0,4.13125
25,0.0,4.1265625
26,0.0,3.83125
27,0.0,2.749375
28,0.0,6.775
29,0.0,3.390625
30,0.0,3.1328125
31,0.0,5.987500000000001
32,0.0,5.89375
33,0.0,1.0
34,0.0,3.1515625000000003
35,0.0,3.77734375
36,0.0,2.63125
37,0.0,5.3078125
38,0.0,1.0
39,0.0,7.727734375
40,0.0,3.4937500000000004
41,0.0,2.2046875
42,0.0,3.025
43,0.0,3.746875
44,0.0,2.2046875
45,0.0,7.403124999999999
46,0.0,6.548828125
47,0.0,3.3671875000000004
48,0.0,1.99140625
49,0.0,2.2281250000000004
50,0.0,2.78125
51,0.0,2.734375
52,0.0,1.8390625
53,0.0,5.005
54,0.0,5.7390625
55,0.0,3.3156250000000003
56,0.0,2.4109375
57,0.0,2.96875
58,0.0,6.067187499999999
59,0.0,2.035
60,0.0,2.5515625
61,0.0,3.2265625
62,0.0,1.0984375
63,0.0,2.378125
64,0.0,8.2
65,0.0,2.21875
66,0.0,1.965625
67,0.0,4.895312499999999
68,0.0,2.99125
69,0.0,6.9671875000000005
70,0.0,3.1328125
71,0.0,3.953125
72,0.0,1.97875
73,0.0,6.981249999999999
74,0.0,6.671875
75,0.0,1.97734375
76,0.0,2.415625
77,0.0,7.2015625000000005
78,0.0,4.06
79,0.0,3.14875
80,0.0,3.053125
81,0.0,3.1515625000000003
82,0.0,3.1515625000000003
83,0.0,1.984375
84,0.0,2.040625
85,0.0,6.9625
86,0.0,4.196875
87,0.0,2.6453125
88,0.0,2.2703125
89,0.0,3.0025
90,0.0,3.1515625000000003
91,0.0,2.940625
92,0.0,5.7484375
93,0.0,5.005
94,0.0,2.021875
95,0.0,2.5703125
