,OverallError,PANAS.Interested_Error,PANAS.Distressed_Error,PANAS.Excited_Error,PANAS.Upset_Error,PANAS.Strong_Error,PANAS.Guilty_Error,PANAS.Scared_Error,PANAS.Hostile_Error,PANAS.Enthusiastic_Error,PANAS.Proud_Error,PANAS.Irritable_Error,PANAS.Alert_Error,PANAS.Ashamed_Error,PANAS.Inspired_Error,PANAS.Nervous_Error,PANAS.Determined_Error,PANAS.Attentive_Error,PANAS.Jittery_Error,PANAS.Active_Error,PANAS.Afraid_Error,PANAS.Interested_Accuracy,PANAS.Distressed_Accuracy,PANAS.Excited_Accuracy,PANAS.Upset_Accuracy,PANAS.Strong_Accuracy,PANAS.Guilty_Accuracy,PANAS.Scared_Accuracy,PANAS.Hostile_Accuracy,PANAS.Enthusiastic_Accuracy,PANAS.Proud_Accuracy,PANAS.Irritable_Accuracy,PANAS.Alert_Accuracy,PANAS.Ashamed_Accuracy,PANAS.Inspired_Accuracy,PANAS.Nervous_Accuracy,PANAS.Determined_Accuracy,PANAS.Attentive_Accuracy,PANAS.Jittery_Accuracy,PANAS.Active_Accuracy,PANAS.Afraid_Accuracy
0,11.915792465209961,0.69632887840271,0.6298359036445618,1.0318424701690674,5.675245273728535e-10,0.7374432682991028,7.13043679656522e-10,0.5164200067520142,2.401065180013262e-10,1.0845576524734497,0.6963149905204773,0.5162339210510254,0.6963222026824951,0.2301323562860489,1.031866431236267,0.7340511083602905,0.8791987895965576,0.6963330507278442,0.6963068246841431,1.0426054000854492,1.2037342855819588e-07,0.51495361328125,0.68084716796875,0.51495361328125,1.0,0.72259521484375,1.0,0.7923583984375,1.0,0.4239501953125,0.51495361328125,0.7923583984375,0.51495361328125,0.93890380859375,0.51495361328125,0.73126220703125,0.52105712890625,0.51495361328125,0.51495361328125,0.48504638671875,1.0
1,10.700343132019043,0.611218273639679,0.6262143850326538,0.9417229294776917,1.4551914361005114e-11,0.5754199028015137,5.893525112377063e-10,0.5062435865402222,1.0913935033496358e-10,1.0410798788070679,0.6114988923072815,0.5057884454727173,0.6113149523735046,0.1436680257320404,0.9414615631103516,0.6433247923851013,0.7597922086715698,0.6113730669021606,0.6113750338554382,0.958847165107727,1.164152940713592e-10,0.6282958984375,0.6834716796875,0.5755615234375,1.0,0.77740478515625,1.0,0.79302978515625,1.0,0.386474609375,0.6282958984375,0.79302978515625,0.6282958984375,0.9403076171875,0.5755615234375,0.73333740234375,0.579833984375,0.62835693359375,0.6282958984375,0.47821044921875,1.0
2,10.492399215698242,0.6121463775634766,0.6008105874061584,0.9080864787101746,1.5206748082974286e-09,0.5510123372077942,3.4924593772522883e-10,0.5052878856658936,7.712513960811407e-10,1.0155576467514038,0.6121017336845398,0.5057177543640137,0.6121480464935303,0.1189531534910202,0.9082682132720947,0.6203515529632568,0.7355697154998779,0.6121582984924316,0.6121230125427246,0.9621058702468872,7.130437351676733e-10,0.63055419921875,0.70538330078125,0.6165771484375,1.0,0.8072509765625,1.0,0.79638671875,1.0,0.413330078125,0.6309814453125,0.79638671875,0.6307373046875,0.9678955078125,0.61651611328125,0.76837158203125,0.60284423828125,0.6307373046875,0.6309814453125,0.4788818359375,1.0
3,10.738337516784668,0.6132331490516663,0.6331999897956848,0.938220739364624,1.2951203443023473e-09,0.5814448595046997,1.5425027921622814e-09,0.4988858699798584,6.548361297653571e-10,1.0466887950897217,0.6132775545120239,0.49879199266433716,0.613227367401123,0.15263663232326508,0.9380505084991455,0.6458516716957092,0.7710158824920654,0.6132471561431885,0.613400936126709,0.967165470123291,1.0986693776970924e-09,0.6314697265625,0.6734619140625,0.58123779296875,1.0,0.77880859375,1.0,0.7972412109375,1.0,0.3858642578125,0.6314697265625,0.7972412109375,0.6314697265625,0.9404296875,0.58123779296875,0.7376708984375,0.5751953125,0.6314697265625,0.63140869140625,0.46795654296875,1.0
4,11.856335639953613,0.6925257444381714,0.6351227760314941,1.0172016620635986,0.0,0.7229782342910767,2.1827871107826802e-11,0.5111433267593384,0.0,1.0870981216430664,0.6924828290939331,0.5109913349151611,0.6925107836723328,0.2320946753025055,1.0172312259674072,0.7309515476226807,0.8799444437026978,0.6924994587898254,0.6925230622291565,1.0490376949310303,0.0,0.5316162109375,0.67132568359375,0.5316162109375,1.0,0.73583984375,1.0,0.7957763671875,1.0,0.406494140625,0.5316162109375,0.7957763671875,0.5316162109375,0.9381103515625,0.5316162109375,0.73388671875,0.52911376953125,0.5316162109375,0.5316162109375,0.4683837890625,1.0
5,11.822368621826172,0.6929079294204712,0.6324294209480286,1.0180753469467163,8.003551987822988e-11,0.7213733196258545,1.164153010102531e-10,0.5078634023666382,2.9103828722010228e-11,1.085476279258728,0.6929086446762085,0.507759690284729,0.6918514370918274,0.22505496442317963,1.0179506540298462,0.7220081090927124,0.8741354942321777,0.6929693818092346,0.6927324533462524,1.046872615814209,2.037267576859847e-10,0.52923583984375,0.67608642578125,0.52923583984375,1.0,0.731689453125,1.0,0.79754638671875,1.0,0.4114990234375,0.52923583984375,0.79754638671875,0.52923583984375,0.94073486328125,0.52923583984375,0.73828125,0.5257568359375,0.52923583984375,0.52923583984375,0.47076416015625,1.0
6,11.745898246765137,0.6895812153816223,0.6320737600326538,1.0094850063323975,1.4289978977899409e-08,0.7061488628387451,2.91038235178398e-11,0.523242175579071,4.423781341245103e-09,1.0808976888656616,0.6893491148948669,0.5238442420959473,0.69037926197052,0.20437964797019958,1.0084553956985474,0.712631344795227,0.852737545967102,0.6900919675827026,0.6891332864761353,1.0434678792953491,3.710738105677791e-10,0.52374267578125,0.67926025390625,0.52374267578125,1.0,0.73175048828125,1.0,0.7919921875,1.0,0.43902587890625,0.52374267578125,0.7919921875,0.52374267578125,0.9432373046875,0.52374267578125,0.7352294921875,0.5230712890625,0.52374267578125,0.52374267578125,0.476318359375,1.0
7,13.847343444824219,0.6843883991241455,0.6264961361885071,1.1398744583129883,8.381901395182467e-09,0.8436452746391296,4.656612428988183e-09,0.5412181615829468,0.0,1.3963065147399902,0.6847242116928101,0.5450431108474731,0.6849578619003296,0.21095190942287445,1.1354666948318481,0.7183878421783447,1.7777694463729858,0.6859471201896667,0.6848890781402588,1.4872764348983765,0.0,0.55242919921875,0.67633056640625,0.54248046875,1.0,0.74176025390625,1.0,0.79742431640625,1.0,0.466552734375,0.55242919921875,0.79742431640625,0.5523681640625,0.9417724609375,0.5426025390625,0.73919677734375,0.51025390625,0.5523681640625,0.55242919921875,0.5172119140625,1.0
8,10.678963661193848,0.6141983270645142,0.6314650774002075,0.9341768026351929,0.0,0.5679512619972229,0.0,0.4927230179309845,5.602486807809726e-10,1.0508612394332886,0.6139830350875854,0.4928460121154785,0.6139506101608276,0.14114022254943848,0.9342185258865356,0.6320967674255371,0.7617664933204651,0.6139653325080872,0.6140152812004089,0.9696055054664612,0.0,0.63983154296875,0.67681884765625,0.58453369140625,1.0,0.78082275390625,1.0,0.79827880859375,1.0,0.3876953125,0.63983154296875,0.79827880859375,0.63983154296875,0.94146728515625,0.58465576171875,0.73974609375,0.57452392578125,0.63983154296875,0.63983154296875,0.43853759765625,1.0
9,10.768403053283691,0.6137822866439819,0.6311952471733093,0.9402734041213989,2.53567105090724e-08,0.5899134874343872,7.319612471690107e-09,0.4984849691390991,5.944456482609439e-09,1.045137882232666,0.613727331161499,0.4985971450805664,0.6137720942497253,0.16239863634109497,0.9402403831481934,0.6514184474945068,0.7763675451278687,0.6136410236358643,0.6138308644294739,0.9656229615211487,1.2514645986172468e-09,0.6295166015625,0.67547607421875,0.58111572265625,1.0,0.776611328125,1.0,0.79962158203125,1.0,0.385986328125,0.6295166015625,0.79962158203125,0.6295166015625,0.93890380859375,0.5811767578125,0.738525390625,0.57470703125,0.6295166015625,0.6295166015625,0.47344970703125,1.0
